things, 791
stranger, 772
rt, 445
https, 311
joeybirlem, 127
3, 120
season, 96
2, 65
's, 59
watch, 58
’, 57
ready, 56
love, 56
episode, 53
days, 52
first, 48
elwes, 47
amp, 47
cary, 45
night, 43
hours, 43
house, 43
┏┓, 42
┃┃╱╲, 42
┃╱╱╲╲, 42
╱╱╭╮╲╲, 42
▔▏┗┛▕▔, 42
╱▔▔▔▔▔▔▔▔▔▔╲, 42
╱╱┏┳┓╭╮┏┳┓, 42
╲╲, 42
▔▏┗┻┛┃┃┗┻┛▕, 42
stayed, 42
fell, 42
asleep, 42
sleep, 42
neve…, 42
cast, 38
netflix, 37
de, 37
like, 37
2016, 35
zaynpride, 34
77., 34
assiste, 34
busey, 33
jake, 32
``, 31
'', 30
ross, 27
duffer, 25
matt, 25
tim, 25
ives, 25
know, 23
strangerthings, 21
..., 21
cinemartistry, 21
directors, 21
shawn, 21
levy, 21
cinematographers, 21
tod, 21
campbell, 21
http…, 21
mike, 19
stan, 18
please, 16
15, 16
20, 16
youtube, 16
video, 16
‘, 15
filming, 15
inspired, 15
whattheffacts, 15
rejected, 15
times, 15
different, 15
networks, 15
picked, 15
series, 14
game, 14
still, 14
1, 14
xxnicole, 14
inteiro, 14
//t.co/m6dpuf6jmw, 14
watching, 14
trying, 13
n't, 13
milliebbrown, 13
t…, 13
riverdale, 13
noahhcredito, 13
fandom, 13
quando, 13
sair, 13
//t.co/eyrunbrrwv, 13
open, 13
really, 12
new, 12
added, 12
watched, 12
sing, 12
ingridmusic, 12
record, 12
floss, 12
ialisyn, 12
hype, 12
af, 12
szn3, 12
rt/like, 12
friends, 12
active, 12
funny, 12
//t.…, 12
gc, 11
😂, 11
one, 11
na, 11
bevclub, 11
dms, 11
princess, 10
bride, 10
—, 10
two, 10
wait, 10
'stranger, 10
happened, 10
liked, 10
anyone, 10
looks, 10
kid, 10
13, 10
💘, 10
willing, 10
it/stranger, 10
must, 10
name…, 10
😍, 9
kinda, 9
glasses, 9
lmao, 9
reasons, 9
always, 9
walking, 9
dead, 9
lucas, 9
via, 9
preparing, 9
10, 9
brown, 9
fan, 9
going, 9
upsidedownfacts, 8
get, 8
eleven, 8
live, 8
us, 8
upside, 8
joining, 8
80sreddle, 8
notice, 8
kids, 8
make, 8
never, 8
bad, 8
rtyourlgbts, 8
byler, 8
//t.co/dbdsmgabjc, 8
adds, 8
hawkins_things, 8
strangerthings3, 8
e, 8
go, 8
thrones, 7
want, 7
time, 7
star, 7
starship, 7
trooper, 7
//t.co/gc…, 7
miss, 7
x, 7
look, 7
casts, 7
need, 7
mayor, 7
s2, 7
joyner, 7
chris, 7
world, 7
best, 6
mutuals, 6
-stranger, 6
've, 6
seen, 6
think, 6
place, 6
famous, 6
check, 6
breaking, 6
show, 6
far, 6
s3, 6
//t.co/1qy6tzefrc, 6
//t.co/zjvonkumia, 6
come, 6
strangertbr, 6
gaten, 6
caleb, 6
sadie, 6
durante, 6
painel, 6
expo, 6
dallas, 6
//t.co/ognwd5kr0h, 6
…, 6
fc, 6
tv, 5
2., 5
getting, 5
back, 5
quiet, 5
ariana, 5
stuff, 5
life, 5
finally, 5
character, 5
see, 5
vs, 5
would, 5
away, 5
three, 5
happy, 5
join, 5
day, 5
denofgeek, 5
'm, 5
steve, 5
coming, 5
drop, 5
could, 5
hold, 5
map, 5
qanon, 5
talking, 5
dept, 5
energy, 5
period, 5
min, 5
groupchat, 5
5, 4
1., 4
top, 4
lol, 4
ca, 4
•, 4
dustin, 4
dream, 4
hopper, 4
end, 4
btstvshows, 4
//t.co/lyca9rlekq, 4
theme, 4
today, 4
lit, 4
