@digimistake oh i forgot, emma loves stranger things  
, 0.0
rt @zaynpride: 77. assiste stranger things  
, 0.0
my 5 best tv series of 2017:   1. stranger things season 2 2. mindhunter 3. dark 4. narcos season 3 5. game of thrones season 7  
, 0.15
rt @80steenlashton: i really want new mutuals rt if you stan -1d  -5sos -tøp  -p!atd  -all time low  -the 1975 -stranger things cast  -para…  
, 0.11212121212121212
i've seen stranger things on the ground #strangerthings https://t.co/ppemzvbxcv  
, 0.0
@2002kyline still episode 2 season 1 on stranger things 😂😂  
, 0.0
@aarxn82 the hardest thing for me is trying to not fight everyone who doesn't think stranger things is trash. it's… https://t.co/iyop6m0gfe  
, 0.0
rt @upsidedownfacts: stranger things season 3 has added ‘princess bride’ star cary elwes, and starship trooper’s jake busey https://t.co/gc…  
, 0.5
top 5 tv shows — (two of them are netflix originals, but you get it lol) stranger things pretty little liars santa.… https://t.co/yd7sfcgruh  
, 0.340625
@rickypdillon @arianalgb or goes on stranger things 😂💀  
, 0.0
rt @jacksonbuttsco: stranger things season 3 is getting ready to begin filming in jackson! welcome back to butts county! #strangerthings #g…  
, 0.3875
woah just saw a quiet place woaaah same thrill as i watched the stranger things, can't wait for the part two, the e… https://t.co/aqgewkdoo4  
, 0.0
• mike + eleven • • stranger things •  
, 0.0
-we been knew they'd fall in love since they first met  -deserve to live a h… https://t.co/xhyeamxwm2  
, 0.29545454545454547
i miss stranger things  
, 0.0
1. stranger things  2. girlboss 3. this is us https://t.co/ahototaeuq  
, 0.0
rt @depressedelio: i miss stranger things  
, 0.0
rt @xxnicole: o cast de stranger things inteiro. https://t.co/m6dpuf6jmw  
, 0.0
@leilah8syou @sidneyallisonnn worth it ang stranger things?  
, 0.3
rt @dailydot: 'stranger things' season 3 just added 2 '80s icons to its cast: https://t.co/y1qwxuablw https://t.co/tya8bjgi7y  
, 0.0
can't wait to be home and watch stranger things. weewooo 😍  
, 0.0
funko pop! stranger things dustin #424 barnes &amp; noble exclusive   #funkopop https://t.co/1ay5xnctwe https://t.co/khpktp3u6k  
, 0.6
rt @mgtxs: nct dream x stranger things crossover🌙✨ #마크 #런쥔 #제노 #해찬 #재민 #천러 #지성 #nctfanart #nctdream https://t.co/pprleyqh6c  
, 0.0
• joyce + hopper • • stranger things •  
, 0.0
-if they don't eventually end up together i'll fight the writers  -literall… https://t.co/qyrgief4cl  
, 0.0
rt @btstvshows: stranger things (2016) https://t.co/lyca9rlekq  
, -0.75
rt @mgtxs: nct dream x stranger things crossover🌙✨ #마크 #런쥔 #제노 #해찬 #재민 #천러 #지성 #nctfanart #nctdream https://t.co/pprleyqh6c  
, 0.0
@syclocoyote just play the stranger things theme on loop the whole way  
, 0.2
rt @fae_dark: i've seen stranger things on the ground #strangerthings https://t.co/ppemzvbxcv  
, 0.0
rt @winstonsmith_jr: patriots if you look at "stranger things" season 2 episode 2, you will understand what happened today in iran with 5:5…  
, 0.0
rt @gilology: the stranger things boys singing motown songs but james corden doesn't ruin it https://t.co/fqlyja6bz2  
, 0.0
rt @ingridmusic: please sing with me on my stranger things inspired record @milliebbrown.  i know your can sing. and floss.  still trying t…  
, 0.0
rt @winstonsmith_jr: please patriots watch "stranger things" season 2 episode 5 "dig dug" =》"the storm" ! that's what @potus is refering to…  
, 0.0
